user_id,age,target
74887063,25,0
74833541,25,0
22935340,25,0
18988770,25,0
75722288,25,0
41292588,25,0
66212315,25,0
38769749,25,0
16924798,25,0
20214715,25,0
18662735,25,0
63806852,25,0
31823256,25,0
73615420,25,0
29407352,25,0
30617211,25,0
57822345,25,0
48422642,25,0
74579140,25,0
19618453,25,0
14795399,25,0
6189275,25,0
14428587,25,0
9148380,25,0
64458762,25,0
60104399,25,0
61693734,25,0
5694949,25,0
29103134,25,0
67429041,25,0
41414845,25,0
7981978,25,0
63359565,25,0
8492142,25,0
27856446,25,0
1292376,25,0
58051658,25,0
62566921,25,0
1441638,25,0
32673631,25,0
43843800,25,0
15657037,25,0
71420950,25,0
30016262,25,0
50325442,25,0
20337818,25,0
50692245,25,0
27019664,25,0
14405463,25,0
29734871,25,0
20456792,25,0
61394922,25,0
42482202,25,0
61722376,25,0
62829266,25,0
51486646,25,0
42587754,25,0
32652665,25,0
19336716,25,0
58765022,25,0
17378175,25,0
49943175,25,0
37629932,25,0
56282445,25,0
5512776,25,0
17625632,25,0
7877885,25,0
46554824,25,0
43933842,25,0
7898477,25,0
49256843,25,0
42226866,25,0
71010834,25,0
67093518,25,0
57846709,25,0
49562075,25,0
60730040,25,0
67538586,25,0
24534118,25,0
20941607,25,0
29424722,25,0
75056109,25,0
57708844,25,0
47212443,25,0
74255877,25,0
45641675,26,1
37731988,26,1
45551785,26,1
74247687,26,1
9536694,26,1
74030759,26,1
34634063,26,1
27221630,26,1
39983702,26,1
70245936,26,1
70993822,26,1
53285996,26,1
16182068,26,1
9469197,26,1
18290308,26,1
50343662,26,1
26166034,26,1
39761051,26,1
30366559,26,1
50449949,26,1
67342514,26,1
30968258,26,1
29201777,26,1
64081850,26,0
60123469,26,0
64263100,26,0
47550103,26,0
50550332,26,0
35773907,26,0
44231689,26,0
29949035,26,0
59466253,26,0
28793307,26,0
44104982,26,0
74864105,26,0
46011410,26,0
36556694,26,0
18569244,26,0
59030528,26,0
18118536,26,0
65536332,26,0
59047922,26,0
64174717,26,0
33836276,26,0
5337243,26,0
56990318,26,0
27280826,26,0
14734103,26,0
4165830,26,0
7569649,26,0
67677794,26,0
18673513,26,0
17654763,26,0
19016935,26,0
47846450,26,0
47291497,26,0
2276670,26,0
53075123,26,0
8063025,26,0
42688246,26,0
50170541,26,0
36584944,26,0
18292741,26,0
6177018,26,0
30972202,26,0
41904235,26,0
41772859,26,0
75388338,26,0
37657540,26,0
75682339,26,0
3780055,26,0
51024918,26,0
68141267,26,0
22540093,26,0
75121677,26,0
29414178,26,0
6703087,26,0
30725790,26,0
14602778,26,0
67501770,26,0
33880164,26,0
23445285,26,0
9366119,26,0
28765590,26,0
16769270,26,0
18302020,26,0
18885878,26,0
15069381,26,0
51214550,26,0
23305336,26,0
48913576,26,0
75767891,26,0
65034320,26,0
44138310,26,0
53395720,26,0
9335626,26,0
57382006,26,0
67355178,26,0
8917382,26,0
8359723,26,0
32861743,26,0
31274804,26,0
9216578,26,0
28862749,26,0
55264178,26,0
65191626,26,0
76190980,26,0
5118918,26,0
74989506,26,0
25880551,26,0
72501605,26,0
57668837,26,0
50314994,26,0
34495377,26,0
53374610,26,0
63461743,26,0
6717210,26,0
7271821,26,0
34693238,26,0
74827524,26,0
19466738,26,0
57675515,26,0
58137429,26,0
1993794,26,0
6620395,26,0
14491076,26,0
60100319,26,0
73889542,26,0
74802947,26,0
44306890,26,0
9145640,26,0
51909697,26,0
68596438,26,0
59672942,26,0
37224218,26,0
72184410,26,0
44619738,26,0
16053275,26,0
45788323,26,0
41192989,26,0
67542212,26,0
74296705,26,0
74861202,26,0
457254,26,0
19104918,26,0
63579902,26,0
70368751,26,0
14922250,26,0
74767794,26,0
31031389,26,0
36933947,26,0
57415443,26,0
67758245,26,0
15902659,26,0
6462399,26,0
44331830,26,0
66308805,26,0
39979641,26,0
41695787,26,0
38623606,26,0
41350285,26,0
43073982,26,0
53767415,26,0
27931695,26,0
74698565,26,0
33955401,26,0
50788643,26,0
66618502,26,0
75825553,26,0
57416662,26,0
50944583,26,0
57207972,26,0
64219520,26,0
5344790,26,0
6820525,26,0
40663159,26,0
74302702,26,0
59752423,26,0
30586842,26,0
19327455,26,0
60150946,26,0
26481544,26,0
41363111,26,0
74454892,26,0
8227434,26,0
5053787,26,0
51092166,26,0
56026958,26,0
32977514,26,0
51783933,26,0
37651065,26,0
61504954,26,0
21553844,26,0
41474066,26,0
57614635,26,0
66363139,26,0
25758814,26,0
8751120,26,0
49927235,26,0
26404086,26,0
30173054,26,0
52916047,26,0
65679612,26,0
45071067,26,0
50190404,26,0
65030769,26,0
20931931,26,0
65262565,26,0
55563247,26,0
30516004,26,0
23005763,26,0
40841148,26,0
42371513,26,0
74428670,26,0
14808718,26,0
53956801,26,0
1687258,26,0
61114386,26,0
30723386,26,0
21314899,26,0
6738389,26,0
74832403,26,0
8479025,26,0
51037342,26,0
75593879,26,0
7264316,26,0
14491806,26,0
69531550,26,0
36745178,26,0
1258432,26,0
75927560,26,0
61799010,26,0
39892356,26,0
65557088,26,0
71936618,26,0
76428176,26,0
18294502,26,0
4914530,26,0
75082164,26,0
75237011,26,0
6686825,26,0
56392946,26,0
65363718,26,0
8219502,26,0
30823284,26,0
36577420,26,0
43091639,26,0
8019502,26,0
59563274,26,0
1187155,26,0
8604357,26,0
74290502,26,0
55544881,26,0
46185522,26,0
57413174,26,0
32726666,26,0
3811537,26,0
45664706,26,0
49217202,26,0
74622651,26,0
74841243,26,0
30391053,26,0
29019222,26,0
60968011,26,0
43863131,26,0
58205195,26,0
22332570,26,0
14642327,26,0
8698082,26,0
4591271,26,0
49454828,26,0
58863146,26,0
31535172,26,0
57425076,26,0
65175509,26,0
1660770,26,0
45565922,26,0
66866322,26,0
74761335,26,0
46894167,26,0
57018465,26,0
7104770,26,0
33787346,26,0
42067700,26,0
74735808,26,0
52229443,26,0
7028231,26,0
44135658,26,0
40344257,26,0
45824734,26,0
32860064,26,0
18267706,26,0
16925728,26,0
36947474,26,0
19067090,26,0
42510354,26,0
4488817,26,0
71953285,26,0
22955690,26,0
67611438,26,0
74726056,26,0
75640521,26,0
74436745,26,0
41977281,26,0
72969612,26,0
60833375,26,0
60397695,26,0
73422680,26,0
71146240,26,0
1790730,26,0
64263136,26,0
70118738,26,0
74888028,26,0
75119939,26,0
44510911,26,0
68047802,26,0
15630252,26,0
73056904,26,0
67827752,26,0
42490291,26,0
4319718,26,0
9357073,26,0
7756218,26,0
52959175,26,0
55978209,26,0
21550869,26,0
49074469,26,0
52256169,26,0
68835554,26,0
47880554,26,0
8736355,26,0
74580242,26,0
6141501,26,0
35347935,26,0
16673331,26,0
66420436,26,0
26352820,26,0
2583374,26,0
14860198,26,0
3724014,26,0
6973040,26,0
74451448,26,0
18981549,26,0
47569666,26,0
56258300,26,0
8705047,26,0
48338308,26,0
36184778,26,0
68369763,26,0
6406294,26,0
39478894,26,0
6461439,26,0
22192821,26,0
51934782,26,0
64751577,26,0
31027840,26,0
4288558,26,0
61034054,26,0
14932652,26,0
22396139,26,0
19031805,26,0
35386642,26,0
59937580,26,0
19458602,26,0
67029628,26,0
18944332,26,0
45889495,26,0
56550698,26,0
33645103,26,0
55000530,26,0
7438427,26,0
29887144,26,0
73251079,26,0
23285937,26,0
41852451,26,0
57359496,26,0
5261572,26,0
35842135,26,0
19871839,26,0
7350051,26,0
27592038,26,0
7853783,26,0
6578152,26,0
1071152,26,0
41802835,26,0
53365594,26,0
7458737,26,0
16419700,26,0
70126744,26,0
43953872,26,0
27255544,26,0
70055032,26,0
49539436,26,0
70583497,26,0
19198477,26,0
42876149,26,0
31093968,26,0
49210519,26,0
26837832,26,0
62827979,26,0
37965994,26,0
22896910,26,0
4265422,26,0
2765001,26,0
54191567,26,0
66224821,26,0
16091746,26,0
41640410,26,0
42045814,26,0
73412264,26,0
64428002,26,0
61674434,26,0
38845279,26,0
43954577,26,0
28212788,26,0
22825305,26,0
64604703,26,0
62989629,26,0
48297078,26,0
28288406,26,0
30944228,26,0
51649121,26,0
41848959,26,0
8199723,26,0
43226874,26,0
58188907,26,0
25658658,26,0
46243297,26,0
27507995,26,0
48465298,26,0
1369312,26,0
43536686,26,0
7533654,26,0
74956164,26,0
42065380,26,0
3891758,26,0
64701399,26,0
7159744,26,0
3734873,26,0
6236485,26,0
64900522,26,0
7125862,26,0
60583072,26,0
14886730,26,0
73647965,26,0
74480433,26,0
14964171,26,0
58517561,26,0
14970810,26,0
72720356,26,0
59806997,27,1
54567670,27,1
76129459,27,1
53929327,27,1
61257098,27,1
76399434,27,1
20187200,27,1
29595070,27,1
33460344,27,1
45984724,27,1
45577178,27,1
55701347,27,1
72615462,27,1
75226231,27,1
18975820,27,1
992703,27,1
1689406,27,1
49200981,27,1
62774340,27,1
31557770,27,1
4933133,27,1
6168910,27,1
9397586,27,1
36878566,27,1
38888559,27,1
38116980,27,1
9467690,27,1
6059973,27,1
15126283,27,0
50382461,27,0
56342892,27,0
6616437,27,0
48282560,27,0
44636967,27,0
37028694,27,0
52422242,27,0
74594656,27,0
18731319,27,0
1060477,27,0
27831433,27,0
27803227,27,0
23979258,27,0
7686281,27,0
42204472,27,0
44818328,27,0
4035101,27,0
60680492,27,0
56632323,27,0
55605443,27,0
41932080,27,0
74682362,27,0
74860297,27,0
39166731,27,0
5448810,27,0
53329891,27,0
36037269,27,0
71713672,27,0
29464693,27,0
41769341,27,0
65232783,27,0
6969526,27,0
56241038,27,0
58625663,27,0
16760672,27,0
29438795,27,0
29981780,27,0
7219107,27,0
42021807,27,0
42129955,27,0
53575550,27,0
73882560,27,0
61349452,27,0
48343185,27,0
25578801,27,0
46010785,27,0
45445683,27,0
23425450,27,0
5053543,27,0
26303474,27,0
48421082,27,0
49536395,27,0
1227347,27,0
28240389,27,0
14642709,27,0
5013430,27,0
23218682,27,0
14671444,27,0
48189860,27,0
61568176,27,0
30982985,27,0
72904189,27,0
46558019,27,0
28667106,27,0
74621135,27,0
43615330,27,0
52650080,27,0
27387833,27,0
42771771,27,0
61055557,27,0
54508266,27,0
34620687,27,0
1090812,27,0
17147353,27,0
59829056,27,0
70802232,27,0
4066185,27,0
45600095,27,0
40586789,27,0
51027980,27,0
1162631,27,0
53601133,27,0
9132106,27,0
30293361,27,0
34565974,27,0
58376596,27,0
50778179,27,0
43519338,27,0
64962653,27,0
16294409,27,0
25439937,27,0
23772770,27,0
64038485,27,0
1367292,27,0
24585350,27,0
58178471,27,0
34659340,27,0
75647364,27,0
59922000,27,0
27316432,27,0
25900169,27,0
35045442,27,0
62068570,27,0
5642933,27,0
33759013,27,0
5927750,27,0
1539268,27,0
31425058,27,0
57498419,27,0
64166379,27,0
5086081,27,0
29599851,27,0
7273920,27,0
4744035,27,0
65711431,27,0
8362564,27,0
31355035,27,0
30382421,27,0
46117263,27,0
48761217,27,0
1327384,27,0
47474855,27,0
47374165,27,0
32270306,27,0
17402862,27,0
40142403,27,0
37182279,27,0
48222291,27,0
8633392,27,0
52929901,27,0
68366839,27,0
33548661,27,0
19056024,27,0
2370765,27,0
20550074,27,0
6805303,27,0
76388657,27,0
37391125,27,0
37029455,27,0
74446922,27,0
71566570,27,0
18448870,27,0
7890251,27,0
48342641,27,0
33646088,27,0
33426766,27,0
40900795,27,0
54174116,27,0
6858551,27,0
7625101,27,0
17090930,27,0
25472542,27,0
59443902,27,0
71950853,27,0
2402762,27,0
4845384,27,0
30740278,27,0
30587352,27,0
37338840,27,0
4729064,27,0
74348498,27,0
19355256,27,0
1539759,27,0
1694010,27,0
45511902,27,0
74676655,27,0
15916135,27,0
69993191,27,0
8055157,27,0
43386482,27,0
27650198,27,0
5154873,27,0
68842413,27,0
15228917,27,0
22175979,27,0
5340589,27,0
5718554,27,0
21366386,27,0
76484734,27,0
54797537,27,0
42693458,27,0
7415977,27,0
55845145,27,0
19107204,27,0
43915011,27,0
75131284,27,0
41627490,27,0
41138815,27,0
6686773,27,0
51538795,27,0
49116530,27,0
7626135,27,0
31332283,27,0
74543240,27,0
5317583,27,0
62120061,27,0
53626370,27,0
19136306,27,0
4895735,27,0
24893193,27,0
60376681,27,0
42084460,27,0
67341463,27,0
28844586,27,0
14953330,27,0
26591963,27,0
75039708,27,0
67230939,27,0
74910761,27,0
75155805,27,0
43480961,27,0
30206156,27,0
16521016,27,0
74335994,27,0
74639683,27,0
37840289,27,0
18538174,27,0
55458009,27,0
19031927,27,0
35172186,27,0
61491172,27,0
37949918,27,0
5659287,27,0
59620113,27,0
25449635,27,0
28322906,27,0
42167154,27,0
64376631,27,0
59335601,27,0
44139129,27,0
50696933,27,0
19481466,27,0
65021024,27,0
19450201,27,0
18633590,27,0
75313082,27,0
20843268,27,0
38347365,27,0
37663945,27,0
56247842,27,0
1376789,27,0
6021120,27,0
52761609,27,0
8991807,27,0
74778372,27,0
33157528,27,0
65484768,27,0
58860723,27,0
1902968,27,0
4343471,27,0
16652099,27,0
5087084,27,0
9563053,27,0
42615002,27,0
51335189,27,0
74788695,27,0
9408846,27,0
63076668,27,0
18817576,27,0
50719157,27,0
59037842,27,0
18449723,27,0
6405514,27,0
56365047,27,0
60553976,27,0
60011691,27,0
60490209,27,0
14774762,27,0
56874565,27,0
58076335,27,0
76622114,27,0
4613626,27,0
75075322,27,0
27995959,27,0
55345358,27,0
74018635,27,0
16714764,27,0
67326187,27,0
6988789,27,0
44552011,27,0
74914086,27,0
74915411,27,0
72054020,27,0
5563014,27,0
5887458,27,0
5119383,27,0
8143489,27,0
14445430,27,0
30210152,27,0
41741565,27,0
53876600,27,0
35658613,27,0
75609105,27,0
75080907,27,0
28674047,27,0
59626321,27,0
54624891,27,0
40557105,27,0
46546835,27,0
48829869,27,0
59071147,27,0
63721813,27,0
2480615,27,0
20070028,27,0
47229002,27,0
50584588,27,0
62183168,27,0
74942317,27,0
75533973,27,0
41550291,27,0
52976449,27,0
31194065,27,0
32207802,27,0
54765304,27,0
63453276,27,0
42742104,27,0
6849344,27,0
39061812,27,0
42012009,27,0
60022047,27,0
6044228,27,0
61526322,27,0
75021353,27,0
25302625,27,0
7971944,27,0
41480155,27,0
47563522,27,0
73639693,27,0
20725061,27,0
54791278,27,0
75291284,27,0
74993138,27,0
22581378,27,0
74981810,27,0
17572491,27,0
32410384,27,0
55626532,27,0
56220970,27,0
17900026,27,0
16862222,27,0
29309248,27,0
74684619,27,0
880593,27,0
54187719,27,0
23209037,27,0
57341096,27,0
61675003,27,0
65616239,27,0
20291386,27,0
42203004,27,0
29295963,27,0
61070585,27,0
50538936,27,0
74764405,27,0
40886575,27,0
42412877,27,0
58455720,27,0
75456951,27,0
39093664,27,0
50671003,27,0
48472684,27,0
74574689,27,0
59382192,27,0
29127469,27,0
75178798,27,0
23396296,27,0
76148905,27,0
17015731,27,0
74097918,27,0
1626633,27,0
5326446,27,0
7476199,27,0
57299234,27,0
42376377,27,0
56210234,27,0
56762367,27,0
74566972,27,0
42442118,27,0
35994140,27,0
43106122,27,0
51803522,27,0
